nohup: ignoring input
Current Timestamp: 2025-03-13 20:06:44.492100
Current Timestamp: 2025-03-13 20:06:58.928492
Current Timestamp: 2025-03-13 20:07:13.965606
Current Timestamp: 2025-03-13 20:07:28.190244
Current Timestamp: 2025-03-13 20:07:42.339811
Current Timestamp: 2025-03-13 20:07:57.111978
Current Timestamp: 2025-03-13 20:08:11.488686
Current Timestamp: 2025-03-13 20:08:25.926460
Current Timestamp: 2025-03-13 20:08:40.323752
Current Timestamp: 2025-03-13 20:08:54.533588
Current Timestamp: 2025-03-13 20:09:08.716433
Current Timestamp: 2025-03-13 20:09:22.864095
Current Timestamp: 2025-03-13 20:09:36.867403
Current Timestamp: 2025-03-13 20:09:51.582358
Current Timestamp: 2025-03-13 20:10:06.391054
Current Timestamp: 2025-03-13 20:10:21.648505
Current Timestamp: 2025-03-13 20:10:36.407023
Current Timestamp: 2025-03-13 20:10:51.494392
Current Timestamp: 2025-03-13 20:11:06.055885
Current Timestamp: 2025-03-13 20:11:20.698098
Current Timestamp: 2025-03-13 20:11:34.924113
Current Timestamp: 2025-03-13 20:11:49.826044
Current Timestamp: 2025-03-13 20:12:04.252061
Current Timestamp: 2025-03-13 20:12:18.636606
Current Timestamp: 2025-03-13 20:12:32.811663
Current Timestamp: 2025-03-13 20:12:47.357114
Current Timestamp: 2025-03-13 20:13:01.706337
Current Timestamp: 2025-03-13 20:13:16.591864
Current Timestamp: 2025-03-13 20:13:31.402342
Current Timestamp: 2025-03-13 20:13:45.919639
Current Timestamp: 2025-03-13 20:13:59.824051
Current Timestamp: 2025-03-13 20:14:13.699886
Current Timestamp: 2025-03-13 20:14:28.073399
Current Timestamp: 2025-03-13 20:14:42.894093
Current Timestamp: 2025-03-13 20:14:56.882051
Current Timestamp: 2025-03-13 20:15:10.856599
Current Timestamp: 2025-03-13 20:15:24.778413
Current Timestamp: 2025-03-13 20:15:38.775296
Current Timestamp: 2025-03-13 20:15:52.425842
Current Timestamp: 2025-03-13 20:16:06.429638
Current Timestamp: 2025-03-13 20:16:20.534361
Current Timestamp: 2025-03-13 20:16:35.244324
Current Timestamp: 2025-03-13 20:16:49.503261
Current Timestamp: 2025-03-13 20:17:03.719218
Current Timestamp: 2025-03-13 20:17:17.671667
Current Timestamp: 2025-03-13 20:17:31.713486
Current Timestamp: 2025-03-13 20:17:47.226602
Current Timestamp: 2025-03-13 20:18:01.033378
Current Timestamp: 2025-03-13 20:18:14.822181
Current Timestamp: 2025-03-13 20:18:29.089282
Current Timestamp: 2025-03-13 20:18:42.951746
Current Timestamp: 2025-03-13 20:18:56.918083
Current Timestamp: 2025-03-13 20:19:10.693461
Current Timestamp: 2025-03-13 20:19:24.577949
Current Timestamp: 2025-03-13 20:19:38.580451
Current Timestamp: 2025-03-13 20:19:52.526681
Current Timestamp: 2025-03-13 20:20:06.595695
Current Timestamp: 2025-03-13 20:20:20.504238
Current Timestamp: 2025-03-13 20:20:34.653247
Current Timestamp: 2025-03-13 20:20:48.890270
Current Timestamp: 2025-03-13 20:21:02.803338
Current Timestamp: 2025-03-13 20:21:17.132827
Current Timestamp: 2025-03-13 20:21:31.310909
Current Timestamp: 2025-03-13 20:21:45.211038
Current Timestamp: 2025-03-13 20:21:59.964037
Current Timestamp: 2025-03-13 20:22:14.147839
Current Timestamp: 2025-03-13 20:22:28.482938
Current Timestamp: 2025-03-13 20:22:42.120330
Current Timestamp: 2025-03-13 20:22:57.314307
Current Timestamp: 2025-03-13 20:23:11.423730
Current Timestamp: 2025-03-13 20:23:25.275442
Current Timestamp: 2025-03-13 20:23:39.198015
Current Timestamp: 2025-03-13 20:23:53.542522
Current Timestamp: 2025-03-13 20:24:07.296219
Current Timestamp: 2025-03-13 20:24:21.049332
Current Timestamp: 2025-03-13 20:24:34.786076
Current Timestamp: 2025-03-13 20:24:48.476137
Current Timestamp: 2025-03-13 20:25:02.200047
Current Timestamp: 2025-03-13 20:25:16.497084
Current Timestamp: 2025-03-13 20:25:30.453923
Current Timestamp: 2025-03-13 20:25:44.460779
Current Timestamp: 2025-03-13 20:25:58.114892
Current Timestamp: 2025-03-13 20:26:12.022481
Current Timestamp: 2025-03-13 20:26:25.805557
Current Timestamp: 2025-03-13 20:26:39.777171
Current Timestamp: 2025-03-13 20:26:54.033763
Current Timestamp: 2025-03-13 20:27:07.925538
Current Timestamp: 2025-03-13 20:27:21.827644
Current Timestamp: 2025-03-13 20:27:35.560965
Current Timestamp: 2025-03-13 20:27:49.536875
Current Timestamp: 2025-03-13 20:28:04.056273
Current Timestamp: 2025-03-13 20:28:17.965598
Current Timestamp: 2025-03-13 20:28:31.919883
Current Timestamp: 2025-03-13 20:28:45.461434
Current Timestamp: 2025-03-13 20:28:59.503703
Current Timestamp: 2025-03-13 20:29:14.307784
Current Timestamp: 2025-03-13 20:29:28.635181
Current Timestamp: 2025-03-13 20:29:42.549720
Current Timestamp: 2025-03-13 20:29:56.625022
Current Timestamp: 2025-03-13 20:30:10.701274
Current Timestamp: 2025-03-13 20:30:25.090768
Current Timestamp: 2025-03-13 20:30:39.777504
Current Timestamp: 2025-03-13 20:30:53.941447
Current Timestamp: 2025-03-13 20:31:08.028516
Current Timestamp: 2025-03-13 20:31:22.488231
Current Timestamp: 2025-03-13 20:31:36.299703
Current Timestamp: 2025-03-13 20:31:50.407895
Current Timestamp: 2025-03-13 20:32:04.800922
Current Timestamp: 2025-03-13 20:32:18.743883
Current Timestamp: 2025-03-13 20:32:32.724111
Current Timestamp: 2025-03-13 20:32:46.707691
Current Timestamp: 2025-03-13 20:33:00.579558
Current Timestamp: 2025-03-13 20:33:14.929507
Current Timestamp: 2025-03-13 20:33:29.136014
Current Timestamp: 2025-03-13 20:33:43.223880
Current Timestamp: 2025-03-13 20:33:57.838785
Current Timestamp: 2025-03-13 20:34:11.877371
Current Timestamp: 2025-03-13 20:34:26.616190
Current Timestamp: 2025-03-13 20:34:40.396359
Current Timestamp: 2025-03-13 20:34:54.431016
Current Timestamp: 2025-03-13 20:35:08.212362
Current Timestamp: 2025-03-13 20:35:22.296683
Current Timestamp: 2025-03-13 20:35:36.606384
Current Timestamp: 2025-03-13 20:35:51.219768
Current Timestamp: 2025-03-13 20:36:05.065624
Current Timestamp: 2025-03-13 20:36:19.099618
Current Timestamp: 2025-03-13 20:36:32.914382
Current Timestamp: 2025-03-13 20:36:46.890516
Current Timestamp: 2025-03-13 20:37:01.116520
Current Timestamp: 2025-03-13 20:37:14.966020
Current Timestamp: 2025-03-13 20:37:28.959603
Current Timestamp: 2025-03-13 20:37:42.743640
Current Timestamp: 2025-03-13 20:37:56.684354
Current Timestamp: 2025-03-13 20:38:10.696713
Current Timestamp: 2025-03-13 20:38:24.650319
Current Timestamp: 2025-03-13 20:38:38.648480
Current Timestamp: 2025-03-13 20:38:52.365220
Current Timestamp: 2025-03-13 20:39:06.490863
Current Timestamp: 2025-03-13 20:39:20.548328
Current Timestamp: 2025-03-13 20:39:34.852277
Current Timestamp: 2025-03-13 20:39:48.702447
Current Timestamp: 2025-03-13 20:40:02.714651
Current Timestamp: 2025-03-13 20:40:16.849227
Current Timestamp: 2025-03-13 20:40:30.760760
Current Timestamp: 2025-03-13 20:40:44.749817
Current Timestamp: 2025-03-13 20:40:59.957656
Current Timestamp: 2025-03-13 20:41:14.130876
Current Timestamp: 2025-03-13 20:41:28.870970
Current Timestamp: 2025-03-13 20:41:42.851390
Current Timestamp: 2025-03-13 20:41:57.397393
Current Timestamp: 2025-03-13 20:42:12.374592
Current Timestamp: 2025-03-13 20:42:26.266053
Current Timestamp: 2025-03-13 20:42:39.819671
Current Timestamp: 2025-03-13 20:42:53.931749
Current Timestamp: 2025-03-13 20:43:08.064292
Current Timestamp: 2025-03-13 20:43:21.783204
Current Timestamp: 2025-03-13 20:43:36.180130
Current Timestamp: 2025-03-13 20:43:49.906318
Current Timestamp: 2025-03-13 20:44:04.084391
